workclass,marital_status,occupation,relationship,race,gender,native_country,age,fnlwgt,educational_num,capital_gain,capital_loss,hours_per_week
3,5,7,4,3,2,39,-1.02497157582871,0.350885536776099,-1.22154530637319,-0.146731579639021,-0.218777837638699,-0.0781191964612276
2,3,11,1,5,2,39,-0.798006115411712,1.39357617693148,0.737026055915528,-0.146731579639021,-0.218777837638699,-0.0781191964612276
3,3,7,1,3,2,39,0.412476340145585,-0.278416872386847,-0.0464024889999585,0.877457004578426,-0.218777837638699,-0.0781191964612276
3,5,8,2,5,2,39,-0.344075194577726,0.0848005863532398,-1.61325957883093,-0.146731579639021,-0.218777837638699,-0.910931450962664
5,3,10,1,5,2,39,1.84992425611988,-0.805654891658324,1.91216887328876,0.266647345546559,-0.218777837638699,-0.744369000062377
3,5,8,5,5,1,39,-1.10062672930104,1.7032718344801,-0.0464024889999585,-0.146731579639021,-0.218777837638699,-0.0781191964612276
3,3,3,1,5,2,39,1.24468302834123,-0.802152403784104,-2.39668812374642,-0.146731579639021,-0.218777837638699,-2.57655595996554
3,3,7,1,5,2,39,2.00123456306454,-0.0499883997035778,-0.438116761457702,0.708268723886938,-0.218777837638699,-0.0781191964612276
1,3,1,1,5,2,39,-0.192764887633064,0.215168864741785,1.12874032837327,-0.146731579639021,-0.218777837638699,-0.0781191964612276
3,3,7,1,5,2,39,0.715096954034909,0.851854896990924,-0.438116761457702,0.266647345546559,-0.218777837638699,0.588130607139922
6,5,8,4,5,2,39,-1.40324734319036,2.41216591403884,-0.0464024889999585,-0.146731579639021,-0.218777837638699,-1.32733757821338
3,3,1,6,5,1,39,0.336821186673254,-0.581041290902923,-0.438116761457702,-0.146731579639021,-0.218777837638699,-0.910931450962664
3,5,8,4,3,1,39,-0.344075194577726,0.46245397484518,-0.0464024889999585,-0.146731579639021,-0.218777837638699,-0.494525323711946
5,3,3,1,5,2,39,0.488131493617916,2.30112758224261,-0.438116761457702,0.825501548303087,-0.218777837638699,4.08594207604596
3,5,1,4,5,2,39,-1.2519370362457,0.441997552423045,-0.438116761457702,-0.146731579639021,-0.218777837638699,-1.7437437054641
3,6,7,5,3,2,39,-1.17628188277337,-0.523373301363058,-0.438116761457702,-0.146731579639021,-0.218777837638699,1.08781795984078
3,3,3,1,5,2,39,1.1690278748689,-0.85402708905634,-0.438116761457702,-0.146731579639021,-0.218777837638699,-0.494525323711946
5,5,10,2,5,2,39,-0.495385501522388,-0.761580341543812,-0.0464024889999585,-0.146731579639021,-0.218777837638699,1.58750531254165
6,3,4,1,3,2,39,0.563786647090247,-0.788445370157426,-0.0464024889999585,0.877457004578426,-0.218777837638699,-0.244681647361515
5,7,8,5,5,1,39,1.32033818181356,-0.0291911946774644,-1.22154530637319,-0.146731579639021,-0.218777837638699,0.754693058040209
5,5,12,2,5,2,39,-1.10062672930104,-0.0138275789481144,1.12874032837327,-0.146731579639021,-0.218777837638699,0.754693058040209
3,1,4,5,5,1,39,-0.949316422356374,-1.38607392951729,-0.438116761457702,-0.146731579639021,-0.218777837638699,-0.0781191964612276
2,3,10,1,5,2,39,-0.192764887633064,2.02525459813882,1.12874032837327,-0.146731579639021,-0.218777837638699,-0.0781191964612276
3,5,9,2,5,2,13,-1.2519370362457,0.555771611234541,-2.78840239620416,-0.146731579639021,-0.218777837638699,0.754693058040209
3,5,7,2,5,2,39,-1.63021280360735,0.75441000462005,-1.61325957883093,-0.146731579639021,-0.218777837638699,-0.0781191964612276
3,5,3,4,5,2,39,-1.40324734319036,0.64156363178605,-0.438116761457702,-0.146731579639021,-0.218777837638699,-0.0781191964612276
3,3,10,1,5,2,39,2.00123456306454,-0.505027837848899,1.52045460083101,-0.146731579639021,-0.218777837638699,0.754693058040209
4,3,12,1,5,2,39,0.412476340145585,-0.657499654578807,0.345311783457785,-0.146731579639021,-0.218777837638699,0.338286930789491
3,3,5,1,5,2,39,-0.192764887633064,2.60879747653425,-0.438116761457702,-0.146731579639021,-0.218777837638699,-0.0781191964612276
3,3,8,1,5,2,39,-0.722350961939381,-0.815045345634612,-1.22154530637319,-0.146731579639021,-0.218777837638699,-0.0781191964612276
